StratumID,TransitionGroupID,Amount
Snake River Plain,Forest Harvest: Forest Clearcut [Type],0.9876847290640394
Snake River Plain,Forest Harvest: Forest Selection [Type],0.012315270935960592
Sonoran Basin and Range,Forest Harvest: Forest Clearcut [Type],0.9842105263157894
Sonoran Basin and Range,Forest Harvest: Forest Selection [Type],0.015789473684210527
South Central Plains,Forest Harvest: Forest Clearcut [Type],0.995582202587567
South Central Plains,Forest Harvest: Forest Selection [Type],0.004417797412432944
Southeastern Plains,Forest Harvest: Forest Clearcut [Type],0.9980671951679879
Southeastern Plains,Forest Harvest: Forest Selection [Type],0.00193280483201208
Southeastern Wisconsin Till Plains,Forest Harvest: Forest Clearcut [Type],0.8666666666666667
Southeastern Wisconsin Till Plains,Forest Harvest: Forest Selection [Type],0.13333333333333333
Southern California Mountains,Forest Harvest: Forest Clearcut [Type],0.8321678321678322
Southern California Mountains,Forest Harvest: Forest Selection [Type],0.16783216783216784
Southern California/Northern Baja Coast,Forest Harvest: Forest Clearcut [Type],0.9974059662775616
Southern California/Northern Baja Coast,Forest Harvest: Forest Selection [Type],0.0025940337224383916
Southern Coastal Plain,Forest Harvest: Forest Clearcut [Type],0.9934454974324719
Southern Coastal Plain,Forest Harvest: Forest Selection [Type],0.006554502567528076
Southern Florida Coastal Plain,Forest Harvest: Forest Clearcut [Type],1
Southern Florida Coastal Plain,Forest Harvest: Forest Selection [Type],0
Southern Michigan/Northern Indiana Drift Plains,Forest Harvest: Forest Clearcut [Type],0.9826589595375722
Southern Michigan/Northern Indiana Drift Plains,Forest Harvest: Forest Selection [Type],0.017341040462427744
Southern Rockies,Forest Harvest: Forest Clearcut [Type],0.8161013485901103
Southern Rockies,Forest Harvest: Forest Selection [Type],0.18389865140988967
Southern Texas Plains,Forest Harvest: Forest Clearcut [Type],1
Southern Texas Plains,Forest Harvest: Forest Selection [Type],0
Southwestern Appalachians,Forest Harvest: Forest Clearcut [Type],0.9893773974623783
Southwestern Appalachians,Forest Harvest: Forest Selection [Type],0.010622602537621718
Southwestern Tablelands,Forest Harvest: Forest Clearcut [Type],1
Southwestern Tablelands,Forest Harvest: Forest Selection [Type],0
Texas Blackland Prairies,Forest Harvest: Forest Clearcut [Type],1
Texas Blackland Prairies,Forest Harvest: Forest Selection [Type],0
Wasatch and Uinta Mountains,Forest Harvest: Forest Clearcut [Type],0.8694543600203978
Wasatch and Uinta Mountains,Forest Harvest: Forest Selection [Type],0.13054563997960225
Western Allegheny Plateau,Forest Harvest: Forest Clearcut [Type],0.9638774577046182
Western Allegheny Plateau,Forest Harvest: Forest Selection [Type],0.0361225422953818
Western Corn Belt Plains,Forest Harvest: Forest Clearcut [Type],0.8821428571428571
Western Corn Belt Plains,Forest Harvest: Forest Selection [Type],0.11785714285714285
Western Gulf Coastal Plain,Forest Harvest: Forest Clearcut [Type],1
Western Gulf Coastal Plain,Forest Harvest: Forest Selection [Type],0
Willamette Valley,Forest Harvest: Forest Clearcut [Type],0.9309045226130653
Willamette Valley,Forest Harvest: Forest Selection [Type],0.06909547738693467
Wyoming Basin,Forest Harvest: Forest Clearcut [Type],0.9978947368421053
Wyoming Basin,Forest Harvest: Forest Selection [Type],0.002105263157894737
