EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Mixedwood Plains,Ontario,Jack pine,Piedmont,Virginia,Forest: White/Red/Jack Pine Group,13.33777404
Mixedwood Plains,Ontario,Jack pine,Blue Ridge,Virginia,Forest: White/Red/Jack Pine Group,11.4231033
Mixedwood Plains,Ontario,Jack pine,Ridge and Valley,Virginia,Forest: White/Red/Jack Pine Group,11.24111339
Mixedwood Plains,Ontario,Jack pine,Central Appalachians,Virginia,Forest: White/Red/Jack Pine Group,12.33943799
Mixedwood Plains,Ontario,Jack pine,Ridge and Valley,West Virginia,Forest: White/Red/Jack Pine Group,9.134558846
Mixedwood Plains,Ontario,Jack pine,Central Appalachians,West Virginia,Forest: White/Red/Jack Pine Group,7.97654664
Boreal Shield West,Ontario,Jack pine,Northern Lakes and Forests,Wisconsin,Forest: White/Red/Jack Pine Group,5.197476663
Mixedwood Plains,Ontario,Jack pine,North Central Hardwood Forests,Wisconsin,Forest: White/Red/Jack Pine Group,6.93632455
Mixedwood Plains,Ontario,Jack pine,Driftless Area,Wisconsin,Forest: White/Red/Jack Pine Group,7.343907987
Mixedwood Plains,Ontario,Jack pine,Southeastern Wisconsin Till Plains,Wisconsin,Forest: White/Red/Jack Pine Group,8.105886598
Atlantic Maritime,Quebec,Spruce - Genus type,Northeastern Coastal Zone,Connecticut,Forest: Spruce/Fir Group,10.17144119
Mixedwood Plains,Quebec,Spruce - Genus type,Northeastern Highlands,Maine,Forest: Spruce/Fir Group,3.549065514
Atlantic Maritime,Quebec,Spruce - Genus type,Northeastern Coastal Zone,Maine,Forest: Spruce/Fir Group,8.106477152
Mixedwood Plains,Quebec,Spruce - Genus type,Acadian Plains and Hills,Maine,Forest: Spruce/Fir Group,5.582474427
Mixedwood Plains,Quebec,Spruce - Genus type,Central Appalachians,Maryland,Forest: Spruce/Fir Group,8.948555904
Mixedwood Plains,Quebec,Spruce - Genus type,Northeastern Highlands,Massachusetts,Forest: Spruce/Fir Group,7.597509653
Atlantic Maritime,Quebec,Spruce - Genus type,Northeastern Coastal Zone,Massachusetts,Forest: Spruce/Fir Group,9.575018425
Atlantic Maritime,Quebec,Spruce - Genus type,Atlantic Coastal Pine Barrens,Massachusetts,Forest: Spruce/Fir Group,10.43335169
Boreal Shield West,Ontario,Spruce - Genus type,Northern Lakes and Forests,Michigan,Forest: Spruce/Fir Group,5.56519725
Mixedwood Plains,Ontario,Spruce - Genus type,North Central Hardwood Forests,Michigan,Forest: Spruce/Fir Group,7.496302638
Mixedwood Plains,Ontario,Spruce - Genus type,Southern Michigan/Northern Indiana Drift Plains,Michigan,Forest: Spruce/Fir Group,8.236540034
