StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Nebraska Sand Hills,Intensification: Open to Low,Intensification,2007,2011,0
Piedmont,Intensification: Open to Low,Intensification,2007,2011,240
Northern Glaciated Plains,Intensification: Open to Low,Intensification,2007,2011,0
Western Corn Belt Plains,Intensification: Open to Low,Intensification,2007,2011,80
Lake Agassiz Plain,Intensification: Open to Low,Intensification,2007,2011,0
Northern Minnesota Wetlands,Intensification: Open to Low,Intensification,2007,2011,0
Northern Lakes and Forests,Intensification: Open to Low,Intensification,2007,2011,20
North Central Hardwood Forests,Intensification: Open to Low,Intensification,2007,2011,60
Driftless Area,Intensification: Open to Low,Intensification,2007,2011,0
Southeastern Wisconsin Till Plains,Intensification: Open to Low,Intensification,2007,2011,60
Central Corn Belt Plains,Intensification: Open to Low,Intensification,2007,2011,20
Eastern Corn Belt Plains,Intensification: Open to Low,Intensification,2007,2011,80
Southern Michigan/Northern Indiana Drift Plains,Intensification: Open to Low,Intensification,2007,2011,80
Huron/Erie Lake Plains,Intensification: Open to Low,Intensification,2007,2011,80
Northeastern Highlands,Intensification: Open to Low,Intensification,2007,2011,0
Northeastern Coastal Zone,Intensification: Open to Low,Intensification,2007,2011,100
Northern Allegheny Plateau,Intensification: Open to Low,Intensification,2007,2011,0
Erie Drift Plain,Intensification: Open to Low,Intensification,2007,2011,20
North Central Appalachians,Intensification: Open to Low,Intensification,2007,2011,20
Middle Atlantic Coastal Plain,Intensification: Open to Low,Intensification,2007,2011,80
Northern Piedmont,Intensification: Open to Low,Intensification,2007,2011,120
Southeastern Plains,Intensification: Open to Low,Intensification,2007,2011,360
Blue Ridge,Intensification: Open to Low,Intensification,2007,2011,40
Ridge and Valley,Intensification: Open to Low,Intensification,2007,2011,80
Southwestern Appalachians,Intensification: Open to Low,Intensification,2007,2011,0
Central Appalachians,Intensification: Open to Low,Intensification,2007,2011,0
Western Allegheny Plateau,Intensification: Open to Low,Intensification,2007,2011,60
Interior Plateau,Intensification: Open to Low,Intensification,2007,2011,60
Interior River Valleys and Hills,Intensification: Open to Low,Intensification,2007,2011,0
Mississippi Alluvial Plain,Intensification: Open to Low,Intensification,2007,2011,60
Mississippi Valley Loess Plains,Intensification: Open to Low,Intensification,2007,2011,60
Southern Coastal Plain,Intensification: Open to Low,Intensification,2007,2011,440
Southern Florida Coastal Plain,Intensification: Open to Low,Intensification,2007,2011,80
North Cascades,Intensification: Open to Low,Intensification,2007,2011,0
Klamath Mountains/California High North Coast Range,Intensification: Open to Low,Intensification,2007,2011,0
Madrean Archipelago,Intensification: Open to Low,Intensification,2007,2011,0
Northern Basin and Range,Intensification: Open to Low,Intensification,2007,2011,0
Sonoran Basin and Range,Intensification: Open to Low,Intensification,2007,2011,160
Acadian Plains and Hills,Intensification: Open to Low,Intensification,2007,2011,40
Eastern Great Lakes Lowlands,Intensification: Open to Low,Intensification,2007,2011,40
Atlantic Coastal Pine Barrens,Intensification: Open to Low,Intensification,2007,2011,60
Southern California/Northern Baja Coast,Intensification: Open to Low,Intensification,2007,2011,60
Coast Range,Intensification: Open to Low,Intensification,2012,2016,0
Puget Lowland,Intensification: Open to Low,Intensification,2012,2016,100
Willamette Valley,Intensification: Open to Low,Intensification,2012,2016,0
Cascades,Intensification: Open to Low,Intensification,2012,2016,0
