StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Central California Foothills and Coastal Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1000
Central California Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Southern California Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,3200
Eastern Cascades Slopes and Foothills,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,21200
Columbia Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,600
Blue Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,14000
Snake River Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,700
Central Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1900
Mojave Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,100
Northern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,49300
Idaho Batholith,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,5200
Middle Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,23100
Wyoming Basin,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,3100
Wasatch and Uinta Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,5500
Colorado Plateaus,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,4600
Southern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,6300
Arizona/New Mexico Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,700
Arizona/New Mexico Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,10900
Chihuahuan Deserts,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,100
High Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,100
Southwestern Tablelands,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Central Great Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Flint Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Cross Timbers,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,300
Edwards Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1700
Southern Texas Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Texas Blackland Prairies,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
East Central Texas Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,2400
Western Gulf Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,2200
South Central Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,122200
Ouachita Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,17000
Arkansas Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,3200
Boston Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,2500
Ozark Highlands,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,19000
Central Irregular Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Canadian Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,6300
Northwestern Glaciated Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,300
Northwestern Great Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,4700
Nebraska Sand Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Piedmont,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,96600
Northern Glaciated Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Western Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1500
Lake Agassiz Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,100
Northern Minnesota Wetlands,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,4700
Northern Lakes and Forests,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,58100
North Central Hardwood Forests,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,5600
Driftless Area,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,300
Southeastern Wisconsin Till Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,300
Central Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1000
Eastern Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,400
Southern Michigan/Northern Indiana Drift Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1100
Huron/Erie Lake Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,600
Northeastern Highlands,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,21900
Northeastern Coastal Zone,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,2500
Northern Allegheny Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,400
Erie Drift Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1200
North Central Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,5700
Middle Atlantic Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,56100
Northern Piedmont,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1500
Southeastern Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,307800
Blue Ridge,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1400
Ridge and Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,17600
Southwestern Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,13700
Central Appalachians,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,16600
Western Allegheny Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,5300
Interior Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,15000
Interior River Valleys and Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1900
Mississippi Alluvial Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,4500
Mississippi Valley Loess Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,18800
Southern Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,107700
Southern Florida Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,100
North Cascades,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,9400
Klamath Mountains/California High North Coast Range,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,17600
Madrean Archipelago,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,300
Northern Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,5200
