StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Erie Drift Plain,Fire,Fire,2004,2004,0
North Central Appalachians,Fire,Fire,2004,2004,0
Middle Atlantic Coastal Plain,Fire,Fire,2004,2004,0
Northern Piedmont,Fire,Fire,2004,2004,0
Southeastern Plains,Fire,Fire,2004,2004,0
Blue Ridge,Fire,Fire,2004,2004,2000
Ridge and Valley,Fire,Fire,2004,2004,0
Southwestern Appalachians,Fire,Fire,2004,2004,700
Central Appalachians,Fire,Fire,2004,2004,0
Western Allegheny Plateau,Fire,Fire,2004,2004,0
Interior Plateau,Fire,Fire,2004,2004,0
Interior River Valleys and Hills,Fire,Fire,2004,2004,0
Mississippi Alluvial Plain,Fire,Fire,2004,2004,0
Mississippi Valley Loess Plains,Fire,Fire,2004,2004,0
Southern Coastal Plain,Fire,Fire,2004,2004,0
Southern Florida Coastal Plain,Fire,Fire,2004,2004,5600
North Cascades,Fire,Fire,2004,2004,93300
Klamath Mountains/California High North Coast Range,Fire,Fire,2004,2004,70000
Madrean Archipelago,Fire,Fire,2004,2004,1500
Northern Basin and Range,Fire,Fire,2004,2004,331900
Sonoran Basin and Range,Fire,Fire,2004,2004,100
Acadian Plains and Hills,Fire,Fire,2004,2004,0
Eastern Great Lakes Lowlands,Fire,Fire,2004,2004,0
Atlantic Coastal Pine Barrens,Fire,Fire,2004,2004,0
Southern California/Northern Baja Coast,Fire,Fire,2004,2004,21500
Coast Range,Fire,Fire,2005,2005,3100
Puget Lowland,Fire,Fire,2005,2005,0
Willamette Valley,Fire,Fire,2005,2005,0
Cascades,Fire,Fire,2005,2005,28400
Sierra Nevada,Fire,Fire,2005,2005,11900
Central California Foothills and Coastal Mountains,Fire,Fire,2005,2005,18200
Central California Valley,Fire,Fire,2005,2005,200
Southern California Mountains,Fire,Fire,2005,2005,103400
Eastern Cascades Slopes and Foothills,Fire,Fire,2005,2005,2800
Columbia Plateau,Fire,Fire,2005,2005,2100
Blue Mountains,Fire,Fire,2005,2005,15700
Snake River Plain,Fire,Fire,2005,2005,2900
Central Basin and Range,Fire,Fire,2005,2005,34800
Mojave Basin and Range,Fire,Fire,2005,2005,0
Northern Rockies,Fire,Fire,2005,2005,1500
Idaho Batholith,Fire,Fire,2005,2005,3900
Middle Rockies,Fire,Fire,2005,2005,8900
Wyoming Basin,Fire,Fire,2005,2005,0
Wasatch and Uinta Mountains,Fire,Fire,2005,2005,10700
Colorado Plateaus,Fire,Fire,2005,2005,7300
Southern Rockies,Fire,Fire,2005,2005,5100
Arizona/New Mexico Plateau,Fire,Fire,2005,2005,0
Arizona/New Mexico Mountains,Fire,Fire,2005,2005,56000
Chihuahuan Deserts,Fire,Fire,2005,2005,3800
High Plains,Fire,Fire,2005,2005,34500
Southwestern Tablelands,Fire,Fire,2005,2005,27800
Central Great Plains,Fire,Fire,2005,2005,0
Flint Hills,Fire,Fire,2005,2005,0
Cross Timbers,Fire,Fire,2005,2005,0
Edwards Plateau,Fire,Fire,2005,2005,0
Southern Texas Plains,Fire,Fire,2005,2005,0
Texas Blackland Prairies,Fire,Fire,2005,2005,0
East Central Texas Plains,Fire,Fire,2005,2005,0
Western Gulf Coastal Plain,Fire,Fire,2005,2005,2900
South Central Plains,Fire,Fire,2005,2005,0
Ouachita Mountains,Fire,Fire,2005,2005,0
Arkansas Valley,Fire,Fire,2005,2005,0
Boston Mountains,Fire,Fire,2005,2005,500
Ozark Highlands,Fire,Fire,2005,2005,100
Central Irregular Plains,Fire,Fire,2005,2005,0
Canadian Rockies,Fire,Fire,2005,2005,1200
Northwestern Glaciated Plains,Fire,Fire,2005,2005,2100
Northwestern Great Plains,Fire,Fire,2005,2005,4100
Nebraska Sand Hills,Fire,Fire,2005,2005,0
Piedmont,Fire,Fire,2005,2005,0
Northern Glaciated Plains,Fire,Fire,2005,2005,0
Western Corn Belt Plains,Fire,Fire,2005,2005,0
Lake Agassiz Plain,Fire,Fire,2005,2005,0
Northern Minnesota Wetlands,Fire,Fire,2005,2005,0
Northern Lakes and Forests,Fire,Fire,2005,2005,1800
North Central Hardwood Forests,Fire,Fire,2005,2005,0
Driftless Area,Fire,Fire,2005,2005,0
Southeastern Wisconsin Till Plains,Fire,Fire,2005,2005,0
Central Corn Belt Plains,Fire,Fire,2005,2005,0
Eastern Corn Belt Plains,Fire,Fire,2005,2005,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2005,2005,0
Huron/Erie Lake Plains,Fire,Fire,2005,2005,0
Northeastern Highlands,Fire,Fire,2005,2005,0
Northeastern Coastal Zone,Fire,Fire,2005,2005,0
Northern Allegheny Plateau,Fire,Fire,2005,2005,0
Erie Drift Plain,Fire,Fire,2005,2005,0
North Central Appalachians,Fire,Fire,2005,2005,0
Middle Atlantic Coastal Plain,Fire,Fire,2005,2005,600
Northern Piedmont,Fire,Fire,2005,2005,0
Southeastern Plains,Fire,Fire,2005,2005,0
Blue Ridge,Fire,Fire,2005,2005,900
Ridge and Valley,Fire,Fire,2005,2005,0
Southwestern Appalachians,Fire,Fire,2005,2005,700
Central Appalachians,Fire,Fire,2005,2005,0
Western Allegheny Plateau,Fire,Fire,2005,2005,0
Interior Plateau,Fire,Fire,2005,2005,0
Interior River Valleys and Hills,Fire,Fire,2005,2005,0
Mississippi Alluvial Plain,Fire,Fire,2005,2005,0
Mississippi Valley Loess Plains,Fire,Fire,2005,2005,0
Southern Coastal Plain,Fire,Fire,2005,2005,0
Southern Florida Coastal Plain,Fire,Fire,2005,2005,15600
North Cascades,Fire,Fire,2005,2005,400
Klamath Mountains/California High North Coast Range,Fire,Fire,2005,2005,3800
Madrean Archipelago,Fire,Fire,2005,2005,55800
Northern Basin and Range,Fire,Fire,2005,2005,0
Sonoran Basin and Range,Fire,Fire,2005,2005,0
Acadian Plains and Hills,Fire,Fire,2005,2005,0
Eastern Great Lakes Lowlands,Fire,Fire,2005,2005,0
Atlantic Coastal Pine Barrens,Fire,Fire,2005,2005,0
Southern California/Northern Baja Coast,Fire,Fire,2005,2005,9200
Coast Range,Fire,Fire,2006,2006,0
Puget Lowland,Fire,Fire,2006,2006,0
Willamette Valley,Fire,Fire,2006,2006,0
Cascades,Fire,Fire,2006,2006,2500
Sierra Nevada,Fire,Fire,2006,2006,16800
Central California Foothills and Coastal Mountains,Fire,Fire,2006,2006,28700
Central California Valley,Fire,Fire,2006,2006,0
Southern California Mountains,Fire,Fire,2006,2006,20100
Eastern Cascades Slopes and Foothills,Fire,Fire,2006,2006,3200
Columbia Plateau,Fire,Fire,2006,2006,3100
Blue Mountains,Fire,Fire,2006,2006,2700
Snake River Plain,Fire,Fire,2006,2006,400
Central Basin and Range,Fire,Fire,2006,2006,33400
Mojave Basin and Range,Fire,Fire,2006,2006,4700
Northern Rockies,Fire,Fire,2006,2006,0
Idaho Batholith,Fire,Fire,2006,2006,1600
Middle Rockies,Fire,Fire,2006,2006,2100
Wyoming Basin,Fire,Fire,2006,2006,0
Wasatch and Uinta Mountains,Fire,Fire,2006,2006,3900
Colorado Plateaus,Fire,Fire,2006,2006,8300
Southern Rockies,Fire,Fire,2006,2006,5400
Arizona/New Mexico Plateau,Fire,Fire,2006,2006,2900
Arizona/New Mexico Mountains,Fire,Fire,2006,2006,122200
Chihuahuan Deserts,Fire,Fire,2006,2006,0
High Plains,Fire,Fire,2006,2006,0
Southwestern Tablelands,Fire,Fire,2006,2006,0
Central Great Plains,Fire,Fire,2006,2006,0
Flint Hills,Fire,Fire,2006,2006,0
Cross Timbers,Fire,Fire,2006,2006,0
Edwards Plateau,Fire,Fire,2006,2006,0
Southern Texas Plains,Fire,Fire,2006,2006,0
Texas Blackland Prairies,Fire,Fire,2006,2006,0
East Central Texas Plains,Fire,Fire,2006,2006,0
Western Gulf Coastal Plain,Fire,Fire,2006,2006,1900
South Central Plains,Fire,Fire,2006,2006,0
Ouachita Mountains,Fire,Fire,2006,2006,0
Arkansas Valley,Fire,Fire,2006,2006,0
Boston Mountains,Fire,Fire,2006,2006,0
Ozark Highlands,Fire,Fire,2006,2006,0
Central Irregular Plains,Fire,Fire,2006,2006,0
Canadian Rockies,Fire,Fire,2006,2006,0
Northwestern Glaciated Plains,Fire,Fire,2006,2006,0
Northwestern Great Plains,Fire,Fire,2006,2006,14100
Nebraska Sand Hills,Fire,Fire,2006,2006,0
Piedmont,Fire,Fire,2006,2006,0
Northern Glaciated Plains,Fire,Fire,2006,2006,0
Western Corn Belt Plains,Fire,Fire,2006,2006,0
Lake Agassiz Plain,Fire,Fire,2006,2006,0
Northern Minnesota Wetlands,Fire,Fire,2006,2006,0
