StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Snake River Plain,Intensification,Intensification,2012,2017,40
Sonoran Basin and Range,Intensification,Intensification,2001,2006,1000
Sonoran Basin and Range,Intensification,Intensification,2007,2012,620
Sonoran Basin and Range,Intensification,Intensification,2012,2017,140
South Central Plains,Intensification,Intensification,2001,2006,380
South Central Plains,Intensification,Intensification,2007,2012,320
South Central Plains,Intensification,Intensification,2012,2017,40
Southeastern Plains,Intensification,Intensification,2001,2006,1280
Southeastern Plains,Intensification,Intensification,2007,2012,920
Southeastern Plains,Intensification,Intensification,2012,2017,580
Southeastern Wisconsin Till Plains,Intensification,Intensification,2001,2006,480
Southeastern Wisconsin Till Plains,Intensification,Intensification,2007,2012,180
Southeastern Wisconsin Till Plains,Intensification,Intensification,2012,2017,100
Southern California Mountains,Intensification,Intensification,2001,2006,0
Southern California Mountains,Intensification,Intensification,2007,2012,20
Southern California Mountains,Intensification,Intensification,2012,2017,40
Southern California/Northern Baja Coast,Intensification,Intensification,2001,2006,1700
Southern California/Northern Baja Coast,Intensification,Intensification,2007,2012,1180
Southern California/Northern Baja Coast,Intensification,Intensification,2012,2017,420
Southern Coastal Plain,Intensification,Intensification,2001,2006,2560
Southern Coastal Plain,Intensification,Intensification,2007,2012,1720
Southern Coastal Plain,Intensification,Intensification,2012,2017,1060
Southern Florida Coastal Plain,Intensification,Intensification,2001,2006,780
Southern Florida Coastal Plain,Intensification,Intensification,2007,2012,540
Southern Florida Coastal Plain,Intensification,Intensification,2012,2017,200
Southern Michigan/Northern Indiana Drift Plains,Intensification,Intensification,2001,2006,720
Southern Michigan/Northern Indiana Drift Plains,Intensification,Intensification,2007,2012,460
Southern Michigan/Northern Indiana Drift Plains,Intensification,Intensification,2012,2017,180
Southern Rockies,Intensification,Intensification,2001,2006,0
Southern Rockies,Intensification,Intensification,2007,2012,0
Southern Rockies,Intensification,Intensification,2012,2017,0
Southern Texas Plains,Intensification,Intensification,2001,2006,40
Southern Texas Plains,Intensification,Intensification,2007,2012,40
Southern Texas Plains,Intensification,Intensification,2012,2017,40
Southwestern Appalachians,Intensification,Intensification,2001,2006,20
Southwestern Appalachians,Intensification,Intensification,2007,2012,40
Southwestern Appalachians,Intensification,Intensification,2012,2017,60
Southwestern Tablelands,Intensification,Intensification,2001,2006,20
Southwestern Tablelands,Intensification,Intensification,2007,2012,20
Southwestern Tablelands,Intensification,Intensification,2012,2017,20
Texas Blackland Prairies,Intensification,Intensification,2001,2006,1480
Texas Blackland Prairies,Intensification,Intensification,2007,2012,920
Texas Blackland Prairies,Intensification,Intensification,2012,2017,360
Wasatch and Uinta Mountains,Intensification,Intensification,2001,2006,0
Wasatch and Uinta Mountains,Intensification,Intensification,2007,2012,20
Wasatch and Uinta Mountains,Intensification,Intensification,2012,2017,0
Western Allegheny Plateau,Intensification,Intensification,2001,2006,280
Western Allegheny Plateau,Intensification,Intensification,2007,2012,280
Western Allegheny Plateau,Intensification,Intensification,2012,2017,160
Western Corn Belt Plains,Intensification,Intensification,2001,2006,700
Western Corn Belt Plains,Intensification,Intensification,2007,2012,380
Western Corn Belt Plains,Intensification,Intensification,2012,2017,100
Western Gulf Coastal Plain,Intensification,Intensification,2001,2006,1680
Western Gulf Coastal Plain,Intensification,Intensification,2007,2012,1220
Western Gulf Coastal Plain,Intensification,Intensification,2012,2017,340
Willamette Valley,Intensification,Intensification,2001,2006,220
Willamette Valley,Intensification,Intensification,2007,2012,40
Willamette Valley,Intensification,Intensification,2012,2017,20
Wyoming Basin,Intensification,Intensification,2001,2006,0
Wyoming Basin,Intensification,Intensification,2007,2012,60
Wyoming Basin,Intensification,Intensification,2012,2017,0
