StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Mississippi Alluvial Plain,Ag Expansion,Ag Change,2007,2011,5040
Mississippi Valley Loess Plains,Ag Expansion,Ag Change,2007,2011,860
Mojave Basin and Range,Ag Expansion,Ag Change,2007,2011,60
Nebraska Sand Hills,Ag Expansion,Ag Change,2007,2011,2580
North Cascades,Ag Expansion,Ag Change,2007,2011,0
North Central Appalachians,Ag Expansion,Ag Change,2007,2011,180
North Central Hardwood Forests,Ag Expansion,Ag Change,2007,2011,1020
Northeastern Coastal Zone,Ag Expansion,Ag Change,2007,2011,600
Northeastern Highlands,Ag Expansion,Ag Change,2007,2011,320
Northern Allegheny Plateau,Ag Expansion,Ag Change,2007,2011,540
Northern Basin and Range,Ag Expansion,Ag Change,2007,2011,2840
Northern Glaciated Plains,Ag Expansion,Ag Change,2007,2011,16780
Northern Lakes and Forests,Ag Expansion,Ag Change,2007,2011,1680
Northern Minnesota Wetlands,Ag Expansion,Ag Change,2007,2011,1080
Northern Piedmont,Ag Expansion,Ag Change,2007,2011,380
Northern Rockies,Ag Expansion,Ag Change,2007,2011,1080
Northwestern Glaciated Plains,Ag Expansion,Ag Change,2007,2011,47080
Northwestern Great Plains,Ag Expansion,Ag Change,2007,2011,41860
Ouachita Mountains,Ag Expansion,Ag Change,2007,2011,520
Ozark Highlands,Ag Expansion,Ag Change,2007,2011,1400
Piedmont,Ag Expansion,Ag Change,2007,2011,3540
Puget Lowland,Ag Expansion,Ag Change,2007,2011,160
Ridge and Valley,Ag Expansion,Ag Change,2007,2011,1540
Sierra Nevada,Ag Expansion,Ag Change,2007,2011,0
Snake River Plain,Ag Expansion,Ag Change,2007,2011,4560
Sonoran Basin and Range,Ag Expansion,Ag Change,2007,2011,1740
South Central Plains,Ag Expansion,Ag Change,2007,2011,4160
Southeastern Plains,Ag Expansion,Ag Change,2007,2011,7760
Southeastern Wisconsin Till Plains,Ag Expansion,Ag Change,2007,2011,200
Southern California Mountains,Ag Expansion,Ag Change,2007,2011,0
Southern California/Northern Baja Coast,Ag Expansion,Ag Change,2007,2011,220
Southern Coastal Plain,Ag Expansion,Ag Change,2007,2011,6820
Southern Florida Coastal Plain,Ag Expansion,Ag Change,2007,2011,160
Southern Michigan/Northern Indiana Drift Plains,Ag Expansion,Ag Change,2007,2011,1120
Southern Rockies,Ag Expansion,Ag Change,2007,2011,380
Southern Texas Plains,Ag Expansion,Ag Change,2007,2011,1580
Southwestern Appalachians,Ag Expansion,Ag Change,2007,2011,1140
Southwestern Tablelands,Ag Expansion,Ag Change,2007,2011,6900
Texas Blackland Prairies,Ag Expansion,Ag Change,2007,2011,6300
Wasatch and Uinta Mountains,Ag Expansion,Ag Change,2007,2011,360
Western Allegheny Plateau,Ag Expansion,Ag Change,2007,2011,880
Western Corn Belt Plains,Ag Expansion,Ag Change,2007,2011,14760
Western Gulf Coastal Plain,Ag Expansion,Ag Change,2007,2011,2400
Willamette Valley,Ag Expansion,Ag Change,2007,2011,220
Wyoming Basin,Ag Expansion,Ag Change,2007,2011,960
Acadian Plains and Hills,Ag Expansion,Ag Change,2012,2016,200
Arizona/New Mexico Mountains,Ag Expansion,Ag Change,2012,2016,0
Arizona/New Mexico Plateau,Ag Expansion,Ag Change,2012,2016,1040
Arkansas Valley,Ag Expansion,Ag Change,2012,2016,660
Atlantic Coastal Pine Barrens,Ag Expansion,Ag Change,2012,2016,140
Blue Mountains,Ag Expansion,Ag Change,2012,2016,780
Blue Ridge,Ag Expansion,Ag Change,2012,2016,600
Boston Mountains,Ag Expansion,Ag Change,2012,2016,180
Canadian Rockies,Ag Expansion,Ag Change,2012,2016,0
Cascades,Ag Expansion,Ag Change,2012,2016,80
Central Appalachians,Ag Expansion,Ag Change,2012,2016,520
Central Basin and Range,Ag Expansion,Ag Change,2012,2016,3420
Central California Foothills and Coastal Mountains,Ag Expansion,Ag Change,2012,2016,4980
Central California Valley,Ag Expansion,Ag Change,2012,2016,4980
Central Corn Belt Plains,Ag Expansion,Ag Change,2012,2016,380
Central Great Plains,Ag Expansion,Ag Change,2012,2016,38740
Central Irregular Plains,Ag Expansion,Ag Change,2012,2016,3360
Chihuahuan Deserts,Ag Expansion,Ag Change,2012,2016,2080
Coast Range,Ag Expansion,Ag Change,2012,2016,0
Colorado Plateaus,Ag Expansion,Ag Change,2012,2016,2340
Columbia Plateau,Ag Expansion,Ag Change,2012,2016,10540
Cross Timbers,Ag Expansion,Ag Change,2012,2016,7840
Driftless Area,Ag Expansion,Ag Change,2012,2016,800
East Central Texas Plains,Ag Expansion,Ag Change,2012,2016,3000
Eastern Cascades Slopes and Foothills,Ag Expansion,Ag Change,2012,2016,1080
Eastern Corn Belt Plains,Ag Expansion,Ag Change,2012,2016,620
Eastern Great Lakes Lowlands,Ag Expansion,Ag Change,2012,2016,1080
Edwards Plateau,Ag Expansion,Ag Change,2012,2016,1840
Erie Drift Plain,Ag Expansion,Ag Change,2012,2016,380
Flint Hills,Ag Expansion,Ag Change,2012,2016,1860
High Plains,Ag Expansion,Ag Change,2012,2016,62300
Huron/Erie Lake Plains,Ag Expansion,Ag Change,2012,2016,380
Idaho Batholith,Ag Expansion,Ag Change,2012,2016,320
Interior Plateau,Ag Expansion,Ag Change,2012,2016,2960
Interior River Valleys and Hills,Ag Expansion,Ag Change,2012,2016,2220
Klamath Mountains/California High North Coast Range,Ag Expansion,Ag Change,2012,2016,60
Lake Agassiz Plain,Ag Expansion,Ag Change,2012,2016,2700
Madrean Archipelago,Ag Expansion,Ag Change,2012,2016,1940
Middle Atlantic Coastal Plain,Ag Expansion,Ag Change,2012,2016,1840
Middle Rockies,Ag Expansion,Ag Change,2012,2016,4980
Mississippi Alluvial Plain,Ag Expansion,Ag Change,2012,2016,2920
Mississippi Valley Loess Plains,Ag Expansion,Ag Change,2012,2016,1100
Mojave Basin and Range,Ag Expansion,Ag Change,2012,2016,540
Nebraska Sand Hills,Ag Expansion,Ag Change,2012,2016,3500
North Cascades,Ag Expansion,Ag Change,2012,2016,0
North Central Appalachians,Ag Expansion,Ag Change,2012,2016,100
North Central Hardwood Forests,Ag Expansion,Ag Change,2012,2016,2140
Northeastern Coastal Zone,Ag Expansion,Ag Change,2012,2016,320
Northeastern Highlands,Ag Expansion,Ag Change,2012,2016,620
Northern Allegheny Plateau,Ag Expansion,Ag Change,2012,2016,920
Northern Basin and Range,Ag Expansion,Ag Change,2012,2016,3900
Northern Glaciated Plains,Ag Expansion,Ag Change,2012,2016,20720
Northern Lakes and Forests,Ag Expansion,Ag Change,2012,2016,2820
Northern Minnesota Wetlands,Ag Expansion,Ag Change,2012,2016,760
Northern Piedmont,Ag Expansion,Ag Change,2012,2016,220
Northern Rockies,Ag Expansion,Ag Change,2012,2016,1620
Northwestern Glaciated Plains,Ag Expansion,Ag Change,2012,2016,58840
Northwestern Great Plains,Ag Expansion,Ag Change,2012,2016,60840
Ouachita Mountains,Ag Expansion,Ag Change,2012,2016,320
Ozark Highlands,Ag Expansion,Ag Change,2012,2016,1520
Piedmont,Ag Expansion,Ag Change,2012,2016,3680
Puget Lowland,Ag Expansion,Ag Change,2012,2016,140
Ridge and Valley,Ag Expansion,Ag Change,2012,2016,2160
Sierra Nevada,Ag Expansion,Ag Change,2012,2016,20
Snake River Plain,Ag Expansion,Ag Change,2012,2016,3840
Sonoran Basin and Range,Ag Expansion,Ag Change,2012,2016,1720
South Central Plains,Ag Expansion,Ag Change,2012,2016,3600
Southeastern Plains,Ag Expansion,Ag Change,2012,2016,13200
Southeastern Wisconsin Till Plains,Ag Expansion,Ag Change,2012,2016,220
Southern California Mountains,Ag Expansion,Ag Change,2012,2016,20
Southern California/Northern Baja Coast,Ag Expansion,Ag Change,2012,2016,260
Southern Coastal Plain,Ag Expansion,Ag Change,2012,2016,8780
Southern Florida Coastal Plain,Ag Expansion,Ag Change,2012,2016,180
Southern Michigan/Northern Indiana Drift Plains,Ag Expansion,Ag Change,2012,2016,1220
Southern Rockies,Ag Expansion,Ag Change,2012,2016,300
Southern Texas Plains,Ag Expansion,Ag Change,2012,2016,1820
Southwestern Appalachians,Ag Expansion,Ag Change,2012,2016,340
Southwestern Tablelands,Ag Expansion,Ag Change,2012,2016,8660
Texas Blackland Prairies,Ag Expansion,Ag Change,2012,2016,6720
Wasatch and Uinta Mountains,Ag Expansion,Ag Change,2012,2016,480
Western Allegheny Plateau,Ag Expansion,Ag Change,2012,2016,1380
Western Corn Belt Plains,Ag Expansion,Ag Change,2012,2016,12860
Western Gulf Coastal Plain,Ag Expansion,Ag Change,2012,2016,3900
Willamette Valley,Ag Expansion,Ag Change,2012,2016,420
Wyoming Basin,Ag Expansion,Ag Change,2012,2016,1020
