Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Reforestation: Oak/Hickory Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Oak/Gum/Cypress Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Elm/Ash/Cottonwood Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Maple/Beech/Birch Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Aspen/Birch Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Alder/Maple Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Western Oak Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Tanoak/Laurel Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Other Western Hardwoods Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Tropical Hardwoods Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: Exotic Hardwoods Group [Type],0,0.1,,,,,
,2002,,,,Reforestation: White/Red/Jack Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Spruce/Fir Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Longleaf/Slash Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Loblolly/Shortleaf Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Pinyon/Juniper Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Douglas-fir Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Ponderosa Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Western White Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Fir/Spruce/Mountain Hemlock Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Lodgepole Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Hemlock/Sitka Spruce Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Western Larch Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Redwood Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Other Western Softwood Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: California Mixed Conifer Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Exotic Softwoods Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Oak/Pine Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Oak/Hickory Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Oak/Gum/Cypress Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Elm/Ash/Cottonwood Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Maple/Beech/Birch Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Aspen/Birch Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Alder/Maple Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Western Oak Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Tanoak/Laurel Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Other Western Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Tropical Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Reforestation: Exotic Hardwoods Group [Type],0.88,1,,,,,
