Timestep,StratumID,TransitionGroupID,MaximumArea,RelativeAmount
2021,Colorado Plateaus,Fire,500,0.3167420814479638
2021,Colorado Plateaus,Fire,1000,0.16063348416289594
2021,Colorado Plateaus,Fire,2000,0.11538461538461539
2021,Colorado Plateaus,Fire,5000,0.049773755656108594
2021,Colorado Plateaus,Fire,10000,0.01809954751131222
2021,Colorado Plateaus,Fire,20000,0.004524886877828055
2021,Colorado Plateaus,Fire,50000,0.0022624434389140274
2021,Southern Rockies,Fire,200,0.2682926829268293
2021,Southern Rockies,Fire,500,0.26287262872628725
2021,Southern Rockies,Fire,1000,0.13279132791327913
2021,Southern Rockies,Fire,2000,0.12195121951219512
2021,Southern Rockies,Fire,5000,0.0948509485094851
2021,Southern Rockies,Fire,10000,0.06504065040650407
2021,Southern Rockies,Fire,20000,0.02710027100271003
2021,Southern Rockies,Fire,50000,0.018970189701897018
2021,Southern Rockies,Fire,100000,0.008130081300813009
2021,Arizona/New Mexico Plateau,Fire,200,0.21359223300970873
2021,Arizona/New Mexico Plateau,Fire,500,0.30097087378640774
2021,Arizona/New Mexico Plateau,Fire,1000,0.23300970873786409
2021,Arizona/New Mexico Plateau,Fire,2000,0.08737864077669903
2021,Arizona/New Mexico Plateau,Fire,5000,0.07766990291262135
2021,Arizona/New Mexico Plateau,Fire,10000,0.05825242718446602
2021,Arizona/New Mexico Plateau,Fire,20000,0.019417475728155338
2021,Arizona/New Mexico Plateau,Fire,50000,0.009708737864077669
2021,Arizona/New Mexico Mountains,Fire,200,0.2205726405090138
2021,Arizona/New Mexico Mountains,Fire,500,0.22693531283138918
2021,Arizona/New Mexico Mountains,Fire,1000,0.16012725344644752
2021,Arizona/New Mexico Mountains,Fire,2000,0.14528101802757157
2021,Arizona/New Mexico Mountains,Fire,5000,0.14528101802757157
2021,Arizona/New Mexico Mountains,Fire,10000,0.05726405090137858
2021,Arizona/New Mexico Mountains,Fire,20000,0.024390243902439025
2021,Arizona/New Mexico Mountains,Fire,50000,0.014846235418875928
2021,Arizona/New Mexico Mountains,Fire,100000,0.0010604453870625664
2021,Arizona/New Mexico Mountains,Fire,200000,0.003181336161187699
2021,Arizona/New Mexico Mountains,Fire,500000,0.0010604453870625664
2021,Chihuahuan Deserts,Fire,200,0.23577235772357724
2021,Chihuahuan Deserts,Fire,500,0.2764227642276423
2021,Chihuahuan Deserts,Fire,1000,0.16260162601626016
2021,Chihuahuan Deserts,Fire,2000,0.16260162601626016
2021,Chihuahuan Deserts,Fire,5000,0.07317073170731707
2021,Chihuahuan Deserts,Fire,10000,0.04878048780487805
2021,Chihuahuan Deserts,Fire,50000,0.016260162601626018
2021,Chihuahuan Deserts,Fire,100000,0.016260162601626018
2021,Chihuahuan Deserts,Fire,200000,0.008130081300813009
2021,High Plains,Fire,200,0.19834710743801653
2021,High Plains,Fire,500,0.2727272727272727
2021,High Plains,Fire,1000,0.17355371900826447
2021,High Plains,Fire,2000,0.06611570247933884
2021,High Plains,Fire,5000,0.09917355371900827
2021,High Plains,Fire,10000,0.09090909090909091
2021,High Plains,Fire,20000,0.01652892561983471
2021,High Plains,Fire,50000,0.05785123966942149
2021,High Plains,Fire,100000,0.008264462809917356
2021,High Plains,Fire,200000,0.008264462809917356
2021,High Plains,Fire,500000,0.008264462809917356
2021,Southwestern Tablelands,Fire,200,0.2867647058823529
2021,Southwestern Tablelands,Fire,500,0.22794117647058823
2021,Southwestern Tablelands,Fire,1000,0.17647058823529413
2021,Southwestern Tablelands,Fire,2000,0.058823529411764705
2021,Southwestern Tablelands,Fire,5000,0.125
2021,Southwestern Tablelands,Fire,10000,0.058823529411764705
2021,Southwestern Tablelands,Fire,20000,0.04411764705882353
2021,Southwestern Tablelands,Fire,50000,0.007352941176470588
2021,Southwestern Tablelands,Fire,100000,0.014705882352941176
